ID,FIRSTNAME,LASTNAME,EMAIL,SEX,TEAM
1,Jonah,Beams,jbeams0@yelp.com,M,4
2,North,Bryett,nbryett1@gnu.org,M,2
3,Brietta,Nerney,bnerney2@hc360.com,F,3
4,Ailis,Lampke,alampke3@printfriendly.com,F,1
5,Frayda,Tolle,ftolle4@weebly.com,F,2
6,Olag,Wemes,owemes5@hao123.com,M,3
7,Alfredo,Orth,aorth6@nps.gov,M,3
8,Sharity,Lodwick,slodwick7@stumbleupon.com,F,3
9,Agnese,Fideler,afideler8@wiley.com,F,4
10,Doralin,Fernley,dfernley9@state.tx.us,F,1
11,Clemens,Gives,cgivesa@cbsnews.com,M,3
12,Giacobo,Kolinsky,gkolinskyb@simplemachines.org,M,3
13,Joanna,Burchell,jburchellc@prweb.com,F,1
14,Ashlin,Timberlake,atimberlaked@businessinsider.com,F,3
15,Tamiko,Speeding,tspeedinge@e-recht24.de,F,7
16,Brandise,Cattell,bcattellf@hp.com,F,1
17,Zorine,Coaten,zcoateng@java.com,F,3
18,Suzann,Bellenie,sbellenieh@nymag.com,F,4
19,Lorry,Adger,ladgeri@mapy.cz,F,4
20,Micky,Benzi,mbenzij@quantcast.com,M,1
21,Darby,Vassay,dvassayk@homestead.com,M,3
22,Caroljean,Jeppensen,cjeppensenl@scientificamerican.com,F,2
23,Troy,Fontaine,tfontainem@apache.org,M,2
24,Eal,Beche,ebechen@alexa.com,M,3
25,Ferdy,Duester,fduestero@miitbeian.gov.cn,M,3
26,Luce,Upton,luptonp@jalbum.net,M,4
27,Uriel,Shoebottom,ushoebottomq@google.ca,F,3
28,Bearnard,Stilwell,bstilwellr@last.fm,M,2
29,Hubey,Densie,hdensies@slashdot.org,M,5
30,Ozzy,Rickell,orickellt@sina.com.cn,M,4
